type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 0, 2]			[1, 6, 6]	ga	['D', 'K', 'F', 'K', 'K']
zero		私は	[2, 0]	[2, 6, 7]	o	['D', 'A', 'D', 'E', 'A']
zero		私が	[3, 6]	[3, 23, 23]	ga	['A', 'A', 'A', 'D', 'A']
zero		私が	[5, 2]	[5, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		代用品が	[7, 12]	[7, 25, 25]	ga	['A', 'A', 'A', 'A', 'A']
dep	[8, 0, 4]			[8, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
zero		ないと思っていた肉や魚が	[10, 2]	[10, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[11, 4, 11]			[11, 12, 12]	o	['K', 'K', 'K', 'K', 'K']
zero		帝国ホテルが	[12, 1]	[12, 3, 3]	ga	['D', 'D', 'D', 'K', 'D']
zero		鮭は	[13, 0]	[13, 0, 0]	ga	['D', 'F', 'F', 'K', 'F']
dep	[14, 0, 2]			[14, 3, 3]	ni	['H', 'D', 'K', 'K', 'K']
zero		私が	[16, 3]	[16, 9, 10]	ga	['A', 'A', 'D', 'D', 'D']
dep	[17, 0, 8]			[17, 20, 20]	ga	['K', 'K', 'K', 'K', 'K']
dep	[18, 0, 7]			[18, 8, 9]	ga	['K', 'K', 'K', 'K', 'K']
dep	[19, 0, 3]			[19, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[21, 3, 9]			[21, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
zero		鉄、銅製品を	[22, 1]	[22, 17, 17]	o	['A', 'A', 'A', 'A', 'A']
dep	[26, 5, 8]			[26, 9, 9]	ga	['I', 'K', 'K', 'K', 'K']
dep	[27, 7, 10]			[27, 11, 11]	ga	['H', 'H', 'F', 'K', 'K']
dep	[29, 2, 3]			[29, 4, 4]	ga	['F', 'H', 'G', 'F', 'H']
zero		コックが	[31, 13]	[31, 29, 29]	ga	['A', 'D', 'D', 'A', 'A']
zero		私は	[34, 0]	[34, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		我々が	[35, 20]	[35, 45, 45]	ga	['F', 'A', 'C', 'F', 'D']
zero		帝国ホテルに近く、私も修業したことのある日比谷の直営レストラン「リッツ」が	[36, 2]	[36, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		調理場の若い連中十二、三人が	[38, 0]	[38, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[39, 0, 2]			[39, 5, 5]	ni	['H', 'F', 'K', 'F', 'F']
zero		調理場の若い連中十二、三人が	[40, 0]	[40, 3, 3]	ga	['D', 'A', 'A', 'D', 'A']
zero		大八車が	[41, 9]	[41, 26, 26]	ga	['D', 'A', 'A', 'A', 'A']
dep	[43, 24, 25]			[43, 28, 28]	ni	['F', 'J', 'G', 'K', 'E']
