type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[2, 3, 8]			[2, 11, 11]	ni	['K', 'K', 'K', 'K', 'K']
zero		パイロットが	[3, 25]	[3, 69, 70]	ga	['A', 'D', 'A', 'A', 'A']
zero		海上や湖面で離着陸できる水上機に対して、通常の滑走路を使用して離着陸する飛行機が	[4, 9]	[4, 29, 30]	ga	['A', 'A', 'A', 'A', 'A']
dep	[7, 7, 14]			[7, 15, 16]	o	['K', 'K', 'K', 'K', 'K']
dep	[9, 0, 21]			[9, 40, 40]	ga	['K', 'K', 'G', 'H', 'K']
dep	[11, 35, 36]			[11, 55, 55]	o	['F', 'D', 'F', 'H', 'F']
zero		パイロットが	[12, 14]	[12, 60, 61]	ga	['A', 'D', 'D', 'A', 'D']
dep	[13, 0, 1]			[13, 2, 2]	ni	['K', 'G', 'F', 'F', 'F']
dep	[14, 25, 31]			[14, 32, 32]	o	['K', 'K', 'K', 'K', 'K']
zero		パイロットは	[15, 6]	[15, 28, 29]	ga	['A', 'D', 'D', 'D', 'D']
zero		パイロットが	[16, 0]	[16, 6, 7]	ga	['A', 'D', 'D', 'F', 'D']
dep	[17, 33, 34]			[17, 35, 35]	o	['K', 'K', 'K', 'K', 'J']
zero		エアラインのパイロットが	[18, 1]	[18, 3, 4]	ga	['A', 'G', 'D', 'D', 'D']
zero		飛行機が	[19, 7]	[19, 20, 21]	ga	['F', 'D', 'D', 'K', 'D']
dep	[22, 53, 54]			[22, 59, 59]	o	['I', 'L', 'F', 'I', 'I']
