type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[2, 0, 2]			[2, 3, 3]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[3, 4]	[3, 15, 15]	ga	['A', 'A', 'A', 'A', 'A']
zero		町が	[4, 5]	[4, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
dep	[6, 4, 8]			[6, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[8, 0, 1]			[8, 2, 2]	ni	['H', 'H', 'F', 'J', 'F']
dep	[9, 0, 12]			[9, 19, 19]	ga	['K', 'K', 'K', 'K', 'K']
zero		波打ち際を	[12, 12]	[12, 27, 27]	o	['A', 'A', 'A', 'A', 'A']
dep	[13, 0, 2]			[13, 3, 3]	ga	['D', 'F', 'E', 'E', 'F']
zero		その船体が	[14, 3]	[14, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
zero		その船体が	[15, 6]	[15, 23, 23]	ga	['A', 'A', 'D', 'A', 'A']
zero		土地の人が	[18, 3]	[18, 14, 14]	ga	['A', 'A', 'A', 'A', 'A']
dep	[20, 5, 7]			[20, 10, 11]	ga	['H', 'D', 'F', 'D', 'F']
zero		私が	[21, 7]	[21, 16, 16]	ga	['A', 'A', 'D', 'A', 'A']
dep	[22, 0, 5]			[22, 12, 12]	o	['K', 'K', 'K', 'K', 'K']
dep	[25, 0, 2]			[25, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[26, 11, 16]			[26, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[27, 1]	[27, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[28, 0, 2]			[28, 3, 3]	ni	['K', 'K', 'K', 'K', 'K']
dep	[29, 0, 4]			[29, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		同じ町内に住む老人が	[30, 5]	[30, 15, 15]	ga	['A', 'D', 'A', 'D', 'D']
zero		その板が	[31, 0]	[31, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[32, 0, 2]			[32, 5, 5]	ga	['K', 'K', 'K', 'K', 'H']
zero		けん坊が	[33, 3]	[33, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[34, 0, 4]			[34, 5, 5]	o	['K', 'K', 'K', 'K', 'K']
zero		私の心臓が	[35, 3]	[35, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[36, 1]	[36, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[37, 2]	[37, 10, 10]	ga	['A', 'A', 'D', 'D', 'D']
dep	[38, 14, 15]			[38, 16, 16]	ga	['H', 'K', 'K', 'K', 'H']
dep	[41, 0, 1]			[41, 7, 7]	ga	['F', 'F', 'F', 'F', 'F']
zero		私が	[42, 0]	[42, 4, 4]	ga	['A', 'A', 'A', 'D', 'A']
zero		私が	[44, 0]	[44, 2, 2]	ga	['A', 'A', 'A', 'A', 'D']
zero		私が	[46, 0]	[46, 7, 7]	ga	['A', 'A', 'D', 'D', 'D']
zero		私は	[47, 0]	[47, 7, 7]	ga	['D', 'F', 'F', 'D', 'D']
dep	[48, 0, 2]			[48, 3, 3]	ga	['H', 'H', 'K', 'K', 'H']
zero		私が	[50, 0]	[50, 4, 5]	ga	['A', 'D', 'D', 'D', 'A']
dep	[52, 0, 3]			[52, 12, 12]	ga	['H', 'H', 'H', 'K', 'F']
dep	[53, 15, 19]			[53, 20, 20]	ga	['K', 'K', 'K', 'K', 'K']
dep	[54, 0, 6]			[54, 7, 7]	o	['K', 'K', 'K', 'K', 'K']
zero		船が	[55, 3]	[55, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		この船は	[56, 5]	[56, 15, 15]	ga	['A', 'A', 'F', 'A', 'D']
dep	[57, 0, 1]			[57, 2, 2]	ga	['K', 'K', 'K', 'K', 'H']
zero		私は	[58, 0]	[58, 4, 4]	ga	['F', 'D', 'D', 'D', 'D']
dep	[59, 3, 5]			[59, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[60, 2, 5]			[60, 8, 9]	ga	['F', 'K', 'K', 'K', 'K']
zero		私が	[61, 2]	[61, 8, 8]	ga	['A', 'A', 'D', 'E', 'D']
zero		飛行機が	[62, 3]	[62, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[64, 4, 5]			[64, 7, 7]	o	['K', 'K', 'K', 'K', 'K']
zero		子どもたちの一団が	[65, 3]	[65, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[66, 8]	[66, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
dep	[71, 0, 3]			[71, 4, 5]	ga	['K', 'K', 'K', 'K', 'H']
zero		私が	[72, 6]	[72, 11, 12]	ga	['A', 'A', 'A', 'A', 'A']
dep	[73, 0, 2]			[73, 7, 7]	ga	['F', 'K', 'K', 'K', 'K']
zero		私に	[74, 11]	[74, 30, 30]	ga	['F', 'D', 'D', 'D', 'D']
dep	[75, 0, 3]			[75, 4, 4]	ni	['K', 'K', 'K', 'K', 'K']
dep	[76, 6, 10]			[76, 22, 22]	ni	['K', 'K', 'E', 'G', 'K']
dep	[77, 0, 3]			[77, 4, 4]	ga	['K', 'K', 'K', 'K', 'K']
