type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		私が	[1, 7]	[1, 15, 15]	ga	['D', 'A', 'D', 'D', 'A']
zero		私が	[2, 7]	[2, 17, 17]	ga	['D', 'A', 'C', 'A', 'A']
zero		私が	[3, 13]	[3, 30, 30]	ga	['D', 'A', 'C', 'A', 'L']
zero		私が	[4, 25]	[4, 60, 60]	ga	['D', 'A', 'A', 'A', 'A']
dep	[5, 22, 25]			[5, 26, 26]	o	['K', 'K', 'K', 'K', 'K']
dep	[6, 3, 6]			[6, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		同じ宿の西洋人の女の子が	[7, 17]	[7, 36, 36]	ga	['A', 'A', 'A', 'A', 'A']
dep	[10, 1, 2]			[10, 3, 3]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[12, 0]	[12, 7, 7]	ga	['F', 'D', 'D', 'F', 'D']
zero		私が	[16, 10]	[16, 17, 17]	ga	['D', 'A', 'D', 'D', 'A']
zero		マザーが	[17, 14]	[17, 47, 48]	ga	['A', 'A', 'A', 'A', 'A']
dep	[18, 3, 4]			[18, 7, 7]	ga	['D', 'D', 'F', 'F', 'F']
dep	[19, 0, 1]			[19, 2, 2]	ga	['F', 'H', 'F', 'K', 'F']
zero		私が	[21, 1]	[21, 4, 4]	ga	['D', 'A', 'A', 'A', 'A']
zero		私が	[22, 0]	[22, 2, 2]	ga	['D', 'A', 'D', 'D', 'A']
dep	[23, 0, 10]			[23, 15, 15]	ga	['K', 'K', 'K', 'K', 'K']
dep	[25, 18, 19]			[25, 20, 20]	ga	['K', 'H', 'K', 'K', 'H']
dep	[26, 6, 9]			[26, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[27, 1]	[27, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[28, 2]	[28, 3, 3]	ga	['D', 'A', 'A', 'D', 'L']
zero		私達が	[30, 1]	[30, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
dep	[31, 23, 25]			[31, 28, 28]	ga	['F', 'F', 'F', 'G', 'D']
zero		私達ボランティアに	[32, 11]	[32, 25, 25]	ni	['A', 'A', 'F', 'A', 'A']
dep	[33, 4, 5]			[33, 6, 7]	ni	['F', 'D', 'F', 'F', 'F']
zero		私が	[34, 0]	[34, 3, 3]	ga	['A', 'A', 'D', 'D', 'A']
dep	[35, 21, 27]			[35, 30, 30]	ni	['I', 'L', 'K', 'I', 'I']
