type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 16, 18]			[1, 23, 23]	ga	['K', 'K', 'K', 'K', 'K']
dep	[2, 7, 10]			[2, 18, 18]	o	['K', 'K', 'K', 'K', 'K']
dep	[4, 0, 1]			[4, 2, 2]	o	['G', 'K', 'K', 'K', 'K']
dep	[5, 13, 19]			[5, 20, 20]	ni	['H', 'K', 'K', 'K', 'K']
dep	[6, 11, 12]			[6, 15, 15]	o	['K', 'K', 'K', 'K', 'K']
dep	[7, 4, 15]			[7, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[8, 7, 10]			[8, 11, 11]	ga	['K', 'K', 'K', 'K', 'K']
dep	[9, 12, 15]			[9, 29, 29]	ga	['F', 'K', 'K', 'K', 'K']
dep	[10, 3, 4]			[10, 10, 10]	ga	['F', 'F', 'F', 'K', 'F']
dep	[11, 14, 22]			[11, 28, 28]	o	['K', 'K', 'K', 'K', 'K']
dep	[14, 18, 24]			[14, 27, 27]	ga	['H', 'J', 'K', 'K', 'K']
dep	[15, 41, 42]			[15, 43, 43]	o	['H', 'H', 'K', 'K', 'K']
dep	[18, 36, 38]			[18, 39, 39]	ni	['F', 'F', 'G', 'F', 'G']
dep	[24, 5, 8]			[24, 9, 9]	ga	['K', 'H', 'K', 'K', 'K']
dep	[26, 11, 12]			[26, 13, 13]	ga	['H', 'H', 'K', 'K', 'K']
dep	[32, 0, 1]			[32, 5, 5]	ga	['F', 'F', 'K', 'K', 'K']
dep	[33, 7, 13]			[33, 14, 15]	ga	['K', 'K', 'K', 'K', 'K']
dep	[37, 0, 2]			[37, 3, 3]	ga	['J', 'K', 'K', 'K', 'K']
dep	[41, 0, 3]			[41, 9, 9]	ga	['F', 'F', 'F', 'F', 'F']
dep	[48, 5, 8]			[48, 11, 11]	ga	['K', 'F', 'K', 'K', 'K']
dep	[50, 44, 45]			[50, 46, 46]	ga	['F', 'K', 'K', 'K', 'K']
dep	[51, 15, 16]			[51, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[54, 0, 26]			[54, 29, 29]	ga	['K', 'K', 'K', 'K', 'K']
dep	[57, 6, 14]			[57, 15, 15]	ga	['I', 'F', 'K', 'K', 'K']
dep	[58, 24, 27]			[58, 28, 28]	ni	['F', 'K', 'K', 'K', 'K']
dep	[63, 9, 12]			[63, 18, 18]	ga	['H', 'K', 'F', 'K', 'K']
dep	[65, 4, 5]			[65, 8, 8]	ga	['H', 'H', 'F', 'K', 'K']
dep	[66, 3, 4]			[66, 9, 10]	ga	['F', 'G', 'G', 'D', 'F']
dep	[68, 11, 12]			[68, 23, 23]	ga	['K', 'K', 'K', 'K', 'K']
dep	[70, 22, 27]			[70, 28, 28]	o	['K', 'K', 'K', 'K', 'K']
dep	[71, 0, 7]			[71, 8, 8]	ga	['K', 'K', 'K', 'K', 'K']
dep	[74, 0, 6]			[74, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[75, 5, 6]			[75, 7, 7]	ga	['K', 'G', 'K', 'K', 'K']
dep	[80, 8, 12]			[80, 13, 13]	ga	['H', 'K', 'K', 'K', 'K']
dep	[84, 2, 4]			[84, 5, 5]	ga	['I', 'K', 'K', 'K', 'K']
dep	[86, 4, 6]			[86, 7, 7]	ga	['F', 'J', 'G', 'G', 'K']
dep	[87, 2, 3]			[87, 4, 4]	ga	['F', 'G', 'K', 'K', 'K']
dep	[91, 23, 24]			[91, 25, 25]	ga	['K', 'K', 'K', 'K', 'K']
dep	[95, 0, 4]			[95, 8, 8]	ga	['H', 'F', 'G', 'G', 'F']
dep	[99, 0, 4]			[99, 5, 5]	ga	['H', 'F', 'K', 'G', 'H']
dep	[109, 14, 20]			[109, 21, 21]	ga	['K', 'K', 'K', 'K', 'K']
dep	[110, 0, 4]			[110, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[111, 23, 24]			[111, 25, 25]	o	['K', 'J', 'J', 'K', 'K']
dep	[113, 11, 12]			[113, 13, 13]	ga	['F', 'D', 'K', 'K', 'F']
dep	[115, 0, 12]			[115, 15, 15]	ga	['K', 'K', 'K', 'K', 'K']
dep	[119, 4, 5]			[119, 12, 12]	ga	['D', 'F', 'F', 'D', 'F']
dep	[128, 0, 15]			[128, 16, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[132, 16, 17]			[132, 18, 18]	ga	['K', 'K', 'K', 'K', 'K']
dep	[136, 0, 2]			[136, 4, 4]	ga	['F', 'H', 'H', 'H', 'F']
dep	[138, 13, 16]			[138, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[141, 1, 2]			[141, 8, 9]	ga	['F', 'F', 'F', 'K', 'K']
dep	[143, 0, 4]			[143, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
dep	[144, 30, 33]			[144, 36, 36]	ga	['F', 'F', 'F', 'K', 'K']
dep	[145, 0, 2]			[145, 17, 18]	ga	['F', 'F', 'F', 'K', 'F']
dep	[146, 3, 5]			[146, 16, 17]	ga	['F', 'K', 'F', 'K', 'H']
