type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[0, 0, 2]			[0, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[1, 4, 9]			[1, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
zero		平七郎が	[2, 5]	[2, 15, 15]	ga	['A', 'A', 'D', 'D', 'A']
dep	[3, 8, 9]			[3, 15, 15]	ga	['H', 'H', 'F', 'K', 'F']
dep	[4, 0, 1]			[4, 2, 2]	ga	['K', 'K', 'K', 'K', 'H']
zero		志津が	[5, 0]	[5, 2, 2]	ga	['F', 'F', 'F', 'D', 'A']
dep	[6, 17, 18]			[6, 24, 24]	ga	['K', 'F', 'F', 'F', 'F']
dep	[7, 3, 9]			[7, 12, 12]	ga	['F', 'K', 'K', 'K', 'K']
zero		平七郎が	[9, 7]	[9, 23, 23]	ga	['A', 'D', 'F', 'D', 'D']
zero		二人が	[10, 4]	[10, 7, 7]	ga	['F', 'A', 'A', 'A', 'A']
dep	[12, 8, 9]			[12, 10, 10]	ga	['A', 'D', 'D', 'K', 'F']
zero		おれが	[13, 4]	[13, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[14, 0, 3]			[14, 9, 9]	ga	['G', 'K', 'F', 'D', 'F']
zero		おれが	[15, 0]	[15, 0, 0]	ga	['A', 'A', 'A', 'D', 'A']
zero		二人は	[16, 0]	[16, 6, 6]	ga	['D', 'D', 'G', 'D', 'D']
dep	[17, 0, 2]			[17, 3, 3]	ga	['L', 'K', 'F', 'I', 'I']
zero		船頭たちが	[19, 5]	[19, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
dep	[20, 0, 3]			[20, 4, 4]	ni	['H', 'F', 'F', 'F', 'H']
dep	[21, 5, 5]			[21, 6, 6]	ga	['H', 'G', 'J', 'I', 'K']
dep	[22, 9, 14]			[22, 15, 15]	ga	['K', 'K', 'K', 'K', 'K']
zero		船頭に	[24, 6]	[24, 14, 14]	ni	['D', 'A', 'D', 'D', 'A']
zero		平七郎が	[25, 7]	[25, 15, 15]	ga	['A', 'D', 'D', 'D', 'A']
dep	[26, 5, 6]			[26, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[27, 0, 2]			[27, 3, 3]	ga	['K', 'K', 'K', 'K', 'K']
zero		志津が	[28, 0]	[28, 4, 4]	ga	['A', 'D', 'D', 'A', 'A']
dep	[32, 0, 2]			[32, 3, 3]	ga	['H', 'H', 'F', 'K', 'D']
zero		「わたしを斬ろうとした四名が	[33, 1]	[33, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
dep	[34, 0, 2]			[34, 3, 3]	ga	['H', 'H', 'F', 'H', 'H']
dep	[36, 0, 2]			[36, 5, 5]	ga	['H', 'K', 'G', 'K', 'F']
zero		船頭たちが	[37, 2]	[37, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
zero		平七郎が	[39, 1]	[39, 7, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[40, 0, 2]			[40, 6, 6]	ga	['H', 'H', 'H', 'K', 'F']
zero		平七郎が	[41, 7]	[41, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
zero		志津を	[42, 5]	[42, 13, 13]	o	['F', 'H', 'E', 'D', 'D']
dep	[44, 0, 5]			[44, 6, 6]	o	['K', 'K', 'K', 'K', 'K']
dep	[45, 12, 14]			[45, 17, 17]	o	['K', 'G', 'K', 'K', 'K']
zero		船饅頭が	[47, 5]	[47, 13, 13]	ga	['A', 'A', 'A', 'D', 'A']
dep	[48, 2, 5]			[48, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		私が	[49, 3]	[49, 10, 10]	ga	['A', 'A', 'D', 'D', 'A']
zero		女が	[52, 14]	[52, 32, 32]	ga	['A', 'A', 'D', 'A', 'A']
