type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[0, 0, 1]			[0, 2, 2]	ni	['K', 'K', 'K', 'K', 'K']
dep	[1, 0, 5]			[1, 6, 6]	ni	['K', 'K', 'K', 'K', 'K']
dep	[2, 3, 4]			[2, 5, 5]	o	['K', 'K', 'K', 'K', 'K']
dep	[3, 2, 9]			[3, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[4, 7, 8]			[4, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
dep	[6, 0, 6]			[6, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
dep	[7, 0, 1]			[7, 2, 2]	ga	['H', 'D', 'H', 'H', 'F']
zero		空き家を	[8, 0]	[8, 2, 2]	o	['A', 'D', 'D', 'A', 'A']
dep	[12, 9, 10]			[12, 11, 11]	o	['K', 'K', 'K', 'K', 'K']
zero		あなたが	[13, 13]	[13, 37, 37]	ga	['A', 'A', 'D', 'A', 'D']
dep	[14, 2, 4]			[14, 8, 8]	ga	['H', 'H', 'F', 'F', 'H']
dep	[15, 0, 3]			[15, 13, 13]	ga	['H', 'F', 'F', 'F', 'F']
dep	[16, 21, 25]			[16, 26, 26]	ni	['K', 'K', 'K', 'K', 'K']
dep	[17, 0, 1]			[17, 2, 2]	o	['K', 'K', 'K', 'K', 'K']
dep	[18, 4, 5]			[18, 10, 10]	o	['K', 'H', 'K', 'K', 'K']
zero		動中の工夫が	[19, 3]	[19, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[20, 21, 24]			[20, 29, 29]	ni	['K', 'K', 'G', 'K', 'K']
zero		自分が	[21, 11]	[21, 31, 31]	ga	['A', 'A', 'A', 'A', 'D']
zero		つまらない意識の動きに	[22, 6]	[22, 16, 17]	ga	['A', 'A', 'A', 'A', 'A']
dep	[23, 0, 7]			[23, 18, 18]	ga	['K', 'K', 'K', 'K', 'K']
zero		白隠禅師を悟りに導いた正受老人の師、至道無難禅師が	[24, 2]	[24, 5, 5]	ga	['A', 'A', 'A', 'K', 'A']
dep	[27, 3, 4]			[27, 5, 5]	o	['K', 'K', 'K', 'K', 'K']
dep	[28, 0, 3]			[28, 4, 4]	ni	['K', 'K', 'K', 'K', 'K']
zero		私が	[33, 0]	[33, 0, 0]	ga	['A', 'A', 'A', 'D', 'D']
dep	[34, 6, 7]			[34, 8, 8]	ga	['H', 'H', 'K', 'K', 'H']
dep	[35, 8, 9]			[35, 12, 12]	ga	['H', 'H', 'H', 'K', 'F']
zero		名工が	[36, 6]	[36, 16, 16]	ga	['A', 'A', 'A', 'A', 'A']
zero		私の寺の再建に京都から来てくれた宮大工さんが	[37, 1]	[37, 1, 1]	ga	['A', 'D', 'A', 'K', 'A']
zero		この方が	[39, 5]	[39, 17, 17]	ga	['A', 'A', 'A', 'A', 'A']
zero		この方が	[40, 0]	[40, 3, 3]	ga	['A', 'A', 'D', 'D', 'A']
dep	[42, 0, 5]			[42, 6, 6]	o	['K', 'K', 'K', 'K', 'K']
dep	[43, 6, 8]			[43, 10, 10]	o	['G', 'D', 'G', 'G', 'K']
dep	[44, 7, 10]			[44, 12, 12]	ni	['K', 'K', 'K', 'K', 'K']
dep	[45, 1, 2]			[45, 6, 6]	o	['H', 'K', 'K', 'D', 'K']
dep	[46, 0, 4]			[46, 10, 10]	ga	['H', 'F', 'H', 'K', 'H']
zero		あの大工さんが	[47, 0]	[47, 5, 5]	ga	['A', 'A', 'A', 'D', 'A']
zero		こういう仕事が	[49, 4]	[49, 10, 10]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[51, 0]	[51, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[53, 0]	[53, 8, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[56, 4]	[56, 13, 13]	ga	['D', 'A', 'D', 'D', 'D']
dep	[57, 13, 16]			[57, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[58, 0, 1]			[58, 2, 2]	ga	['H', 'K', 'K', 'K', 'K']
dep	[59, 2, 7]			[59, 10, 11]	ga	['K', 'K', 'K', 'K', 'K']
zero		本人が	[60, 2]	[60, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
dep	[62, 0, 2]			[62, 5, 5]	ga	['H', 'K', 'K', 'K', 'K']
dep	[63, 5, 7]			[63, 11, 12]	ga	['K', 'K', 'K', 'K', 'K']
zero		われわれは	[64, 0]	[64, 13, 13]	ga	['D', 'H', 'G', 'D', 'D']
dep	[65, 0, 1]			[65, 8, 9]	ga	['F', 'F', 'G', 'F', 'F']
dep	[66, 38, 40]			[66, 41, 41]	ni	['H', 'F', 'F', 'F', 'F']
zero		われわれが	[67, 0]	[67, 1, 1]	ga	['A', 'A', 'A', 'A', 'A']
zero		本人が	[68, 5]	[68, 22, 22]	ga	['A', 'A', 'A', 'A', 'A']
dep	[69, 7, 8]			[69, 11, 11]	ga	['F', 'A', 'D', 'K', 'F']
dep	[70, 48, 49]			[70, 50, 50]	o	['H', 'K', 'K', 'K', 'K']
zero		この方が	[71, 7]	[71, 22, 23]	ga	['D', 'D', 'D', 'D', 'D']
dep	[72, 0, 1]			[72, 2, 2]	ga	['K', 'K', 'K', 'K', 'K']
zero		この方が	[73, 9]	[73, 21, 21]	ga	['A', 'A', 'A', 'A', 'A']
dep	[75, 5, 6]			[75, 7, 7]	ga	['K', 'K', 'K', 'K', 'H']
dep	[76, 20, 21]			[76, 22, 22]	ga	['K', 'K', 'K', 'K', 'K']
dep	[77, 25, 27]			[77, 28, 28]	ni	['K', 'K', 'K', 'K', 'G']
dep	[79, 7, 8]			[79, 9, 9]	ga	['F', 'J', 'G', 'I', 'I']
dep	[81, 0, 6]			[81, 14, 14]	ga	['F', 'K', 'K', 'K', 'K']
zero		心もとない、本物とはいえない合掌が	[82, 2]	[82, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
dep	[83, 8, 11]			[83, 12, 12]	o	['H', 'K', 'K', 'K', 'K']
dep	[84, 0, 4]			[84, 5, 5]	o	['K', 'K', 'K', 'K', 'K']
dep	[85, 15, 41]			[85, 42, 42]	ga	['K', 'K', 'K', 'K', 'K']
zero		これは特別な人たちに違いない、わたしたちのような凡人などにはとても無理だ、と言う人が	[86, 0]	[86, 1, 1]	ga	['A', 'A', 'A', 'A', 'A']
dep	[87, 1, 2]			[87, 4, 4]	ga	['H', 'H', 'F', 'I', 'F']
