type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 4, 6]			[1, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		私は	[2, 10]	[2, 31, 31]	ga	['F', 'D', 'F', 'D', 'D']
dep	[3, 17, 19]			[3, 20, 20]	ni	['K', 'K', 'K', 'K', 'K']
dep	[4, 0, 12]			[4, 15, 15]	ga	['K', 'K', 'K', 'K', 'K']
zero		大和が	[6, 13]	[6, 39, 40]	ga	['D', 'D', 'D', 'D', 'A']
dep	[9, 2, 3]			[9, 8, 9]	o	['H', 'D', 'F', 'G', 'F']
zero		そこに	[10, 2]	[10, 4, 4]	ni	['D', 'F', 'D', 'F', 'D']
dep	[11, 0, 1]			[11, 3, 3]	ga	['F', 'H', 'K', 'H', 'F']
dep	[13, 34, 35]			[13, 36, 36]	ga	['K', 'F', 'K', 'K', 'F']
dep	[15, 3, 7]			[15, 8, 9]	o	['K', 'K', 'G', 'K', 'K']
dep	[16, 2, 4]			[16, 5, 5]	ni	['J', 'G', 'K', 'G', 'G']
dep	[18, 0, 4]			[18, 8, 8]	ga	['H', 'I', 'I', 'I', 'H']
zero		政変などに敗れただけの人は	[19, 3]	[19, 5, 6]	ga	['D', 'A', 'A', 'D', 'A']
dep	[20, 0, 5]			[20, 14, 14]	ga	['K', 'K', 'F', 'K', 'K']
dep	[21, 14, 16]			[21, 34, 34]	ga	['K', 'H', 'F', 'K', 'F']
dep	[22, 21, 22]			[22, 23, 23]	ni	['H', 'D', 'F', 'K', 'F']
zero		朝廷に	[23, 5]	[23, 13, 13]	ga	['A', 'A', 'A', 'B', 'A']
dep	[24, 10, 22]			[24, 25, 25]	o	['K', 'K', 'K', 'K', 'K']
zero		私が	[25, 15]	[25, 42, 42]	ga	['A', 'A', 'A', 'D', 'D']
dep	[26, 2, 6]			[26, 24, 24]	ga	['K', 'K', 'K', 'K', 'J']
zero		そうした賑やかさを避けて播磨に陰棲する人達が	[27, 3]	[27, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[28, 17, 20]			[28, 21, 21]	o	['K', 'K', 'K', 'K', 'K']
zero		そうした、流されてきた人、自ら選んで都を離れてきた人たちが	[29, 8]	[29, 16, 16]	ga	['A', 'A', 'A', 'A', 'A']
dep	[30, 40, 47]			[30, 50, 50]	ga	['K', 'K', 'K', 'K', 'K']
dep	[31, 29, 31]			[31, 32, 32]	ga	['K', 'K', 'K', 'K', 'H']
zero		則景以降が	[32, 4]	[32, 12, 12]	ga	['A', 'A', 'A', 'A', 'A']
zero		則景以降が	[33, 1]	[33, 5, 5]	ga	['A', 'A', 'A', 'D', 'A']
zero		播磨に	[34, 9]	[34, 25, 25]	ni	['D', 'F', 'F', 'D', 'D']
zero		それが	[36, 10]	[36, 23, 23]	ga	['A', 'A', 'F', 'A', 'A']
dep	[37, 18, 20]			[37, 21, 21]	o	['K', 'K', 'K', 'K', 'K']
dep	[38, 2, 4]			[38, 8, 8]	ga	['H', 'K', 'H', 'K', 'H']
zero		赤松円心の孫の義則が	[39, 3]	[39, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[40, 4, 11]			[40, 31, 31]	ga	['K', 'K', 'K', 'K', 'K']
dep	[43, 15, 16]			[43, 17, 17]	o	['K', 'K', 'K', 'K', 'H']
dep	[45, 17, 20]			[45, 21, 21]	ni	['K', 'J', 'K', 'K', 'K']
dep	[46, 31, 32]			[46, 33, 34]	ni	['K', 'K', 'K', 'K', 'K']
dep	[47, 23, 25]			[47, 26, 26]	o	['F', 'K', 'K', 'K', 'D']
