type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 16, 23]			[1, 30, 31]	ga	['K', 'K', 'K', 'K', 'K']
dep	[3, 0, 3]			[3, 7, 7]	ga	['J', 'K', 'K', 'K', 'K']
dep	[4, 28, 41]			[4, 44, 44]	ni	['K', 'K', 'K', 'K', 'K']
dep	[5, 8, 32]			[5, 34, 34]	o	['K', 'K', 'K', 'K', 'K']
dep	[6, 11, 22]			[6, 23, 23]	o	['K', 'K', 'K', 'K', 'K']
zero		進化のペースが	[7, 3]	[7, 8, 8]	ga	['A', 'A', 'A', 'K', 'A']
dep	[8, 0, 2]			[8, 7, 7]	ga	['D', 'D', 'F', 'A', 'K']
zero		反発を感じる人が	[9, 0]	[9, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		最近、マスコミで報じられる子供たちの実態を	[10, 3]	[10, 7, 7]	o	['A', 'A', 'A', 'A', 'A']
dep	[11, 19, 20]			[11, 21, 21]	ga	['H', 'K', 'K', 'K', 'H']
zero		親が	[12, 15]	[12, 39, 39]	ga	['A', 'A', 'A', 'A', 'A']
dep	[13, 0, 6]			[13, 8, 8]	o	['K', 'K', 'K', 'K', 'K']
dep	[14, 0, 3]			[14, 4, 4]	ga	['K', 'K', 'K', 'K', 'K']
dep	[15, 20, 29]			[15, 30, 30]	ga	['K', 'K', 'K', 'K', 'K']
zero		目先の損得に振り回され、右往左往している大人たちが	[17, 0]	[17, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[19, 11, 22]			[19, 23, 23]	ga	['K', 'K', 'K', 'K', 'K']
dep	[20, 0, 2]			[20, 3, 3]	ga	['H', 'H', 'F', 'K', 'H']
dep	[21, 11, 17]			[21, 21, 22]	ga	['K', 'K', 'K', 'K', 'K']
zero		彼が	[22, 11]	[22, 33, 33]	ga	['A', 'A', 'F', 'D', 'D']
dep	[23, 31, 33]			[23, 34, 34]	o	['K', 'K', 'K', 'K', 'K']
zero		若者たちが	[24, 3]	[24, 12, 13]	ga	['A', 'A', 'A', 'A', 'A']
dep	[25, 18, 19]			[25, 20, 20]	ga	['H', 'K', 'H', 'J', 'J']
zero		僕が	[27, 3]	[27, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
dep	[28, 16, 20]			[28, 21, 21]	ni	['K', 'K', 'K', 'K', 'K']
dep	[29, 0, 11]			[29, 12, 12]	ga	['K', 'K', 'K', 'K', 'K']
dep	[30, 13, 14]			[30, 18, 18]	ga	['H', 'K', 'G', 'K', 'F']
dep	[31, 2, 3]			[31, 6, 6]	ga	['F', 'K', 'D', 'D', 'F']
dep	[33, 19, 22]			[33, 23, 23]	ni	['K', 'K', 'K', 'K', 'K']
dep	[34, 26, 27]			[34, 28, 28]	o	['K', 'K', 'K', 'K', 'H']
dep	[35, 0, 2]			[35, 3, 3]	o	['K', 'K', 'K', 'K', 'K']
zero		自分が	[36, 2]	[36, 6, 6]	ga	['D', 'D', 'D', 'A', 'D']
zero		自分が	[37, 0]	[37, 1, 2]	ga	['A', 'A', 'A', 'D', 'D']
dep	[38, 29, 30]			[38, 31, 31]	ni	['F', 'K', 'K', 'K', 'K']
