type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[0, 23, 24]			[0, 38, 38]	ga	['K', 'K', 'K', 'K', 'K']
dep	[1, 0, 2]			[1, 8, 8]	ga	['F', 'K', 'K', 'K', 'K']
zero		彼が	[2, 1]	[2, 2, 2]	ga	['F', 'A', 'D', 'D', 'D']
dep	[4, 0, 1]			[4, 10, 11]	ga	['F', 'K', 'K', 'K', 'F']
dep	[5, 6, 7]			[5, 13, 14]	ga	['H', 'H', 'K', 'K', 'F']
dep	[6, 2, 3]			[6, 4, 4]	ga	['K', 'K', 'K', 'K', 'K']
dep	[7, 14, 21]			[7, 22, 22]	o	['K', 'K', 'K', 'K', 'K']
zero		彼女のほうが	[8, 2]	[8, 6, 7]	ga	['A', 'A', 'A', 'A', 'A']
zero		三村だけが	[9, 15]	[9, 41, 41]	ga	['A', 'A', 'A', 'A', 'A']
dep	[10, 16, 17]			[10, 18, 18]	ga	['J', 'G', 'K', 'K', 'K']
dep	[11, 0, 3]			[11, 7, 7]	ga	['H', 'H', 'K', 'K', 'K']
zero		木田さんが	[12, 1]	[12, 2, 2]	ga	['D', 'A', 'A', 'A', 'D']
zero		三村が	[13, 2]	[13, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		三村が	[15, 0]	[15, 2, 2]	ga	['A', 'A', 'D', 'D', 'A']
zero		三村が	[16, 0]	[16, 12, 12]	ga	['A', 'A', 'D', 'D', 'D']
zero		三村が	[17, 0]	[17, 3, 3]	ga	['A', 'A', 'D', 'A', 'D']
dep	[21, 0, 11]			[21, 19, 19]	ga	['K', 'K', 'K', 'K', 'K']
zero		課長が	[22, 3]	[22, 7, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[25, 2, 3]			[25, 13, 13]	ga	['F', 'D', 'F', 'D', 'F']
zero		三村が	[26, 24]	[26, 63, 63]	ga	['D', 'A', 'D', 'A', 'A']
zero		自分たちのことが	[27, 4]	[27, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
dep	[28, 4, 5]			[28, 13, 13]	ga	['H', 'K', 'H', 'K', 'F']
dep	[29, 16, 18]			[29, 19, 19]	o	['K', 'K', 'K', 'K', 'H']
dep	[30, 0, 2]			[30, 3, 3]	ga	['H', 'H', 'H', 'K', 'K']
dep	[31, 14, 15]			[31, 17, 17]	ga	['H', 'H', 'H', 'K', 'F']
zero		三村が	[32, 0]	[32, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
zero		自動車事故に遭って入社を取りやめた子が	[33, 2]	[33, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
dep	[35, 0, 2]			[35, 5, 5]	ga	['H', 'F', 'F', 'F', 'F']
zero		私と彼女は	[36, 5]	[36, 7, 8]	ga	['D', 'A', 'F', 'D', 'A']
dep	[37, 4, 8]			[37, 12, 12]	ga	['G', 'F', 'K', 'J', 'F']
dep	[38, 0, 2]			[38, 3, 3]	ga	['H', 'H', 'H', 'K', 'H']
zero		彼女が	[40, 0]	[40, 0, 0]	ga	['A', 'F', 'D', 'D', 'D']
