type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[0, 0, 3]			[0, 4, 4]	ga	['K', 'K', 'K', 'K', 'K']
dep	[5, 6, 7]			[5, 8, 8]	o	['K', 'K', 'K', 'K', 'K']
dep	[6, 2, 3]			[6, 6, 6]	ga	['K', 'K', 'J', 'K', 'K']
dep	[8, 3, 4]			[8, 7, 7]	o	['K', 'K', 'K', 'G', 'K']
dep	[9, 1, 2]			[9, 3, 3]	o	['K', 'K', 'K', 'K', 'K']
zero		ノコギリが	[10, 1]	[10, 2, 2]	ga	['A', 'K', 'D', 'D', 'D']
dep	[16, 0, 4]			[16, 5, 5]	ga	['K', 'H', 'G', 'L', 'K']
zero		ノコギリが	[19, 0]	[19, 0, 0]	ga	['D', 'D', 'F', 'D', 'D']
dep	[20, 3, 4]			[20, 5, 5]	ga	['F', 'F', 'G', 'F', 'F']
zero		鍛えたノコギリが	[21, 11]	[21, 28, 28]	ga	['A', 'A', 'A', 'A', 'A']
zero		カネが	[22, 5]	[22, 13, 13]	ga	['A', 'A', 'D', 'A', 'A']
dep	[30, 13, 14]			[30, 15, 16]	o	['A', 'A', 'D', 'A', 'F']
dep	[31, 4, 5]			[31, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[33, 0, 1]			[33, 2, 2]	ga	['H', 'F', 'F', 'F', 'H']
dep	[34, 4, 5]			[34, 6, 6]	ga	['H', 'F', 'F', 'F', 'F']
zero		鍛冶屋さんが	[37, 5]	[37, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
zero		ノコギリが	[38, 4]	[38, 14, 14]	ga	['D', 'D', 'F', 'D', 'D']
zero		鍛冶屋さんが	[39, 2]	[39, 5, 5]	ga	['F', 'F', 'G', 'A', 'D']
zero		鍛冶屋さんが	[40, 0]	[40, 2, 2]	ga	['F', 'D', 'D', 'D', 'D']
dep	[41, 7, 8]			[41, 9, 9]	o	['K', 'K', 'K', 'K', 'K']
zero		半日かかっても損でない目立てに	[42, 0]	[42, 1, 1]	ni	['A', 'A', 'A', 'A', 'A']
dep	[47, 2, 5]			[47, 6, 6]	ni	['K', 'K', 'K', 'K', 'K']
