type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[0, 2, 6]			[0, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
dep	[1, 9, 19]			[1, 20, 20]	o	['K', 'K', 'K', 'K', 'K']
dep	[2, 18, 39]			[2, 40, 41]	ga	['K', 'K', 'K', 'K', 'K']
zero		モンゴリア号が	[3, 4]	[3, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
zero		この船が	[4, 13]	[4, 45, 46]	ga	['A', 'A', 'A', 'A', 'A']
dep	[5, 21, 24]			[5, 26, 26]	ga	['K', 'K', 'K', 'K', 'K']
dep	[6, 10, 14]			[6, 15, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[7, 61, 63]			[7, 64, 64]	o	['K', 'K', 'K', 'K', 'K']
zero		彼が	[10, 3]	[10, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
zero		英蘭銀行の窃盗事件ののち、各港へ派遣されたイギリスの警察官や刑事を	[11, 7]	[11, 16, 17]	o	['A', 'A', 'A', 'A', 'A']
zero		フィックスが	[13, 8]	[13, 25, 25]	ga	['A', 'A', 'A', 'A', 'A']
zero		刑事が	[15, 8]	[15, 21, 21]	ga	['A', 'A', 'A', 'A', 'A']
dep	[17, 0, 3]			[17, 4, 5]	ga	['H', 'K', 'K', 'K', 'F']
dep	[18, 13, 14]			[18, 15, 15]	ga	['F', 'F', 'H', 'F', 'F']
dep	[21, 0, 37]			[21, 43, 43]	ga	['K', 'K', 'K', 'K', 'K']
dep	[22, 0, 5]			[22, 10, 10]	ga	['H', 'F', 'D', 'F', 'F']
zero		この船が	[23, 13]	[23, 33, 33]	ga	['A', 'A', 'A', 'D', 'D']
zero		フィックスが	[24, 2]	[24, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
dep	[25, 9, 10]			[25, 11, 11]	ga	['H', 'H', 'H', 'F', 'H']
dep	[26, 1, 2]			[26, 6, 6]	ga	['H', 'H', 'F', 'F', 'H']
zero		わたしが	[30, 7]	[30, 15, 15]	ga	['A', 'A', 'D', 'D', 'A']
zero		わたしの狙っている男が	[32, 1]	[32, 1, 1]	ga	['A', 'A', 'A', 'D', 'A']
dep	[37, 1, 4]			[37, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		泥棒が	[38, 4]	[38, 8, 8]	ga	['A', 'A', 'D', 'A', 'A']
zero		わしが	[39, 12]	[39, 28, 28]	ga	['A', 'A', 'A', 'A', 'A']
dep	[40, 0, 1]			[40, 2, 2]	ga	['F', 'F', 'F', 'G', 'F']
dep	[41, 7, 8]			[41, 14, 14]	ga	['H', 'H', 'F', 'K', 'F']
zero		大泥棒ってものが	[42, 3]	[42, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
zero		無頼漢の人相のものに	[43, 3]	[43, 10, 10]	ni	['A', 'A', 'A', 'A', 'A']
