type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 0, 7]			[1, 11, 11]	o	['K', 'K', 'K', 'K', 'K']
dep	[2, 0, 1]			[2, 6, 6]	o	['F', 'F', 'J', 'K', 'F']
zero		そのとおりの小山が	[3, 4]	[3, 8, 8]	ga	['A', 'A', 'A', 'K', 'A']
dep	[4, 0, 2]			[4, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		巾着が	[5, 6]	[5, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		倭館が	[7, 3]	[7, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
dep	[8, 0, 2]			[8, 3, 3]	ga	['K', 'K', 'K', 'K', 'K']
dep	[9, 0, 2]			[9, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[12, 35, 37]			[12, 45, 46]	ga	['K', 'K', 'K', 'K', 'K']
dep	[13, 0, 5]			[13, 11, 11]	ga	['K', 'K', 'K', 'K', 'K']
dep	[14, 0, 2]			[14, 5, 5]	ga	['F', 'K', 'F', 'K', 'K']
dep	[16, 0, 2]			[16, 12, 13]	ga	['F', 'F', 'K', 'K', 'K']
dep	[18, 9, 13]			[18, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
dep	[19, 0, 5]			[19, 8, 8]	o	['K', 'K', 'K', 'K', 'K']
dep	[21, 0, 2]			[21, 3, 4]	ga	['F', 'F', 'F', 'K', 'K']
zero		元八郎が	[22, 0]	[22, 2, 2]	ga	['D', 'H', 'D', 'K', 'D']
zero		元八郎が	[23, 0]	[23, 2, 2]	ga	['D', 'A', 'A', 'A', 'D']
zero		三田村さまが	[24, 2]	[24, 6, 6]	ga	['A', 'A', 'D', 'A', 'A']
dep	[26, 1, 2]			[26, 3, 3]	ga	['F', 'A', 'D', 'F', 'F']
dep	[28, 15, 16]			[28, 17, 17]	ga	['D', 'F', 'F', 'K', 'F']
zero		三田村さまに	[30, 1]	[30, 3, 3]	ni	['A', 'F', 'K', 'K', 'D']
zero		みなさんが	[32, 3]	[32, 9, 9]	ga	['A', 'A', 'A', 'A', 'B']
dep	[33, 0, 2]			[33, 7, 7]	ga	['F', 'F', 'H', 'F', 'F']
dep	[34, 0, 1]			[34, 7, 8]	ga	['F', 'H', 'G', 'H', 'F']
zero		私が	[37, 0]	[37, 0, 0]	ga	['A', 'A', 'A', 'A', 'D']
dep	[38, 0, 2]			[38, 5, 5]	ga	['F', 'K', 'H', 'K', 'K']
zero		元八郎が	[39, 6]	[39, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
zero		数江が	[42, 1]	[42, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
dep	[43, 0, 2]			[43, 8, 8]	ga	['F', 'G', 'K', 'F', 'F']
dep	[44, 3, 8]			[44, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
dep	[45, 12, 15]			[45, 16, 16]	o	['K', 'K', 'K', 'K', 'K']
