type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		たけしくんときみ子ちゃんが	[3, 2]	[3, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
dep	[5, 0, 2]			[5, 7, 7]	ga	['H', 'K', 'K', 'K', 'K']
zero		その、へんな子どもを	[6, 8]	[6, 27, 27]	o	['A', 'F', 'A', 'A', 'A']
zero		子どもが	[7, 7]	[7, 15, 15]	ga	['D', 'A', 'A', 'D', 'D']
dep	[8, 10, 14]			[8, 29, 29]	ga	['D', 'D', 'D', 'K', 'F']
dep	[9, 4, 9]			[9, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[11, 9, 11]			[11, 17, 17]	ga	['F', 'F', 'K', 'K', 'F']
dep	[12, 5, 6]			[12, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		ポストが	[14, 4]	[14, 10, 10]	ga	['A', 'A', 'A', 'A', 'A']
dep	[15, 5, 9]			[15, 14, 14]	ga	['F', 'H', 'F', 'D', 'F']
dep	[16, 12, 18]			[16, 19, 19]	o	['F', 'H', 'K', 'K', 'K']
dep	[17, 5, 6]			[17, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		二十めんそうが	[18, 1]	[18, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
dep	[21, 19, 22]			[21, 27, 27]	ga	['F', 'K', 'F', 'D', 'F']
dep	[25, 0, 4]			[25, 9, 9]	ga	['F', 'H', 'H', 'K', 'K']
zero		たけしくんが	[26, 0]	[26, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
dep	[30, 3, 4]			[30, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
zero		たけしくんが	[32, 1]	[32, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[33, 7, 8]			[33, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		ポストが	[34, 1]	[34, 1, 1]	ga	['A', 'A', 'A', 'A', 'A']
zero		たけしくんが	[35, 11]	[35, 29, 29]	ga	['A', 'A', 'A', 'A', 'A']
zero		たけしくんときみ子ちゃんが	[36, 5]	[36, 16, 16]	ga	['A', 'A', 'A', 'A', 'A']
zero		そのポストを	[37, 8]	[37, 18, 18]	o	['A', 'A', 'A', 'A', 'A']
zero		ふたりの男が	[38, 5]	[38, 12, 12]	ga	['A', 'A', 'A', 'A', 'A']
zero		あのへんな子どもが	[39, 3]	[39, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
dep	[41, 19, 20]			[41, 21, 21]	o	['H', 'K', 'K', 'K', 'K']
zero		五人のけいじと、明智たんてい・小林くん・ポケット小ぞうたちが	[42, 7]	[42, 29, 29]	ga	['A', 'A', 'A', 'A', 'A']
dep	[44, 23, 26]			[44, 39, 39]	ga	['K', 'K', 'K', 'K', 'K']
dep	[46, 0, 4]			[46, 7, 7]	ga	['J', 'J', 'K', 'K', 'K']
zero		だれも	[47, 2]	[47, 10, 10]	ga	['D', 'F', 'A', 'F', 'D']
zero		だれかが	[48, 5]	[48, 11, 11]	ga	['F', 'D', 'D', 'K', 'D']
zero		たけしくんが	[49, 3]	[49, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[50, 9, 12]			[50, 13, 13]	ga	['K', 'K', 'K', 'K', 'K']
zero		昼間、手紙を持ってきた、あの、へんな子どもが	[52, 2]	[52, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
zero		きみが	[54, 2]	[54, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		たけしくんが	[55, 1]	[55, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
dep	[56, 8, 12]			[56, 17, 17]	ga	['F', 'F', 'F', 'K', 'F']
zero		ロボット小ぞう	[57, 2]	[57, 9, 9]	ga	['A', 'A', 'A', 'F', 'A']
dep	[59, 0, 4]			[59, 8, 8]	ga	['F', 'H', 'F', 'G', 'K']
dep	[60, 0, 3]			[60, 8, 8]	ga	['F', 'K', 'K', 'K', 'K']
dep	[61, 15, 25]			[61, 26, 26]	ga	['H', 'K', 'K', 'K', 'K']
zero		けいじたちが	[62, 0]	[62, 4, 4]	ga	['A', 'A', 'A', 'K', 'A']
zero		ロボット小ぞうが	[63, 1]	[63, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[66, 0, 11]			[66, 12, 12]	o	['K', 'K', 'K', 'K', 'K']
zero		黒ふくめんの男が	[67, 2]	[67, 11, 11]	ga	['A', 'F', 'A', 'A', 'A']
dep	[70, 9, 12]			[70, 13, 13]	ga	['F', 'H', 'F', 'K', 'H']
dep	[72, 6, 15]			[72, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
zero		二十めんそうが	[73, 3]	[73, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
dep	[75, 6, 7]			[75, 8, 8]	ga	['H', 'K', 'K', 'K', 'K']
dep	[78, 0, 3]			[78, 4, 4]	ga	['H', 'H', 'F', 'K', 'F']
dep	[79, 0, 6]			[79, 8, 8]	o	['K', 'K', 'K', 'K', 'K']
zero		ポケット小ぞうが	[80, 1]	[80, 7, 7]	ga	['A', 'A', 'A', 'A', 'A']
zero		二十めんそうが	[81, 2]	[81, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
zero		二十めんそうが	[82, 1]	[82, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		二十めんそうが	[83, 0]	[83, 0, 0]	ga	['A', 'A', 'D', 'D', 'A']
zero		ポケット小ぞうが	[85, 1]	[85, 8, 8]	ga	['A', 'A', 'A', 'K', 'A']
dep	[86, 2, 4]			[86, 5, 5]	ga	['D', 'D', 'F', 'K', 'H']
dep	[87, 0, 4]			[87, 19, 19]	ga	['F', 'H', 'F', 'D', 'F']
zero		僕が	[88, 1]	[88, 4, 4]	ga	['F', 'F', 'D', 'D', 'D']
zero		おじさんは	[89, 4]	[89, 12, 12]	ga	['F', 'F', 'A', 'D', 'D']
zero		二十めんそうが	[90, 1]	[90, 3, 3]	ga	['A', 'A', 'D', 'A', 'A']
dep	[92, 4, 5]			[92, 10, 10]	ga	['D', 'F', 'D', 'F', 'F']
zero		おまえが	[93, 0]	[93, 1, 1]	ga	['F', 'A', 'D', 'F', 'D']
dep	[94, 0, 4]			[94, 10, 10]	ga	['F', 'H', 'H', 'K', 'H']
zero		二十めんそうが	[95, 0]	[95, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		二十めんそうが	[96, 3]	[96, 8, 8]	ga	['A', 'A', 'D', 'A', 'A']
zero		ポケット小ぞうが	[97, 2]	[97, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
zero		二十めんそうが	[98, 1]	[98, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		ポケット小ぞうが	[99, 1]	[99, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		手が	[100, 1]	[100, 4, 4]	ga	['D', 'A', 'A', 'D', 'A']
zero		ポケット小ぞうに	[101, 2]	[101, 7, 7]	ga	['F', 'D', 'D', 'A', 'A']
zero		ポケット小ぞうが	[103, 4]	[103, 17, 17]	ga	['A', 'A', 'A', 'A', 'D']
dep	[105, 33, 34]			[105, 35, 35]	ni	['F', 'D', 'G', 'K', 'A']
dep	[107, 0, 3]			[107, 4, 4]	ga	['F', 'H', 'K', 'K', 'F']
dep	[110, 7, 10]			[110, 11, 11]	ga	['I', 'K', 'K', 'K', 'K']
