type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[1, 6, 11]			[1, 14, 14]	o	['K', 'K', 'K', 'K', 'K']
dep	[2, 0, 4]			[2, 5, 5]	ga	['K', 'K', 'K', 'K', 'K']
zero		その名の由来を	[3, 0]	[3, 0, 0]	o	['A', 'A', 'D', 'A', 'A']
zero		海魚サッパが	[4, 0]	[4, 1, 1]	ga	['F', 'D', 'A', 'A', 'D']
zero		私が	[7, 1]	[7, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		マムシを	[13, 2]	[13, 23, 23]	o	['A', 'A', 'A', 'A', 'A']
dep	[17, 7, 11]			[17, 14, 14]	ni	['K', 'K', 'K', 'K', 'K']
zero		私は	[18, 3]	[18, 15, 15]	ga	['D', 'A', 'D', 'F', 'D']
dep	[21, 9, 10]			[21, 11, 11]	o	['G', 'D', 'K', 'F', 'J']
zero		私が	[22, 5]	[22, 15, 16]	ga	['A', 'A', 'A', 'A', 'A']
dep	[24, 0, 9]			[24, 12, 12]	ga	['K', 'K', 'K', 'K', 'K']
zero		豆が	[25, 0]	[25, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[26, 3, 15]			[26, 16, 16]	ni	['K', 'K', 'K', 'K', 'K']
dep	[31, 11, 14]			[31, 15, 15]	o	['K', 'K', 'K', 'K', 'K']
dep	[32, 0, 5]			[32, 6, 6]	ni	['K', 'K', 'K', 'K', 'K']
zero		みそを	[33, 0]	[33, 2, 2]	o	['D', 'H', 'D', 'F', 'A']
dep	[34, 0, 47]			[34, 51, 51]	ga	['K', 'K', 'K', 'K', 'K']
zero		大豆を	[38, 1]	[38, 3, 3]	o	['E', 'H', 'F', 'K', 'K']
dep	[42, 0, 1]			[42, 2, 2]	ga	['K', 'K', 'K', 'K', 'H']
zero		作者によって	[43, 0]	[43, 0, 0]	ga	['F', 'A', 'A', 'A', 'A']
zero		私が	[44, 0]	[44, 3, 3]	ga	['A', 'A', 'A', 'A', 'D']
dep	[49, 4, 7]			[49, 9, 9]	o	['K', 'K', 'K', 'K', 'K']
