type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		お客様に	[2, 0]	[2, 4, 5]	ga	['D', 'K', 'J', 'G', 'G']
dep	[3, 0, 3]			[3, 8, 8]	o	['D', 'H', 'D', 'E', 'F']
zero		楽しそうに買い物をしていたお客様が	[4, 4]	[4, 17, 17]	ga	['A', 'A', 'A', 'A', 'A']
dep	[6, 3, 4]			[6, 5, 5]	o	['K', 'K', 'F', 'G', 'F']
zero		楽しそうに買い物をしていたお客様が	[7, 0]	[7, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[8, 25, 30]			[8, 31, 31]	o	['K', 'K', 'K', 'K', 'K']
zero		緊張してレジを待つお客様が	[9, 0]	[9, 1, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[10, 0, 22]			[10, 25, 25]	ga	['K', 'K', 'K', 'K', 'K']
zero		買った物とポスレジの金額掲示板を、真剣な目つきで見比べているお客様が	[12, 0]	[12, 0, 0]	ga	['A', 'A', 'A', 'A', 'A']
zero		お客様に	[13, 9]	[13, 22, 23]	ga	['A', 'A', 'D', 'A', 'A']
dep	[14, 14, 19]			[14, 22, 23]	ga	['F', 'F', 'F', 'F', 'F']
dep	[15, 0, 1]			[15, 2, 2]	o	['K', 'K', 'K', 'K', 'K']
dep	[16, 0, 3]			[16, 8, 8]	ga	['F', 'F', 'F', 'F', 'H']
dep	[18, 0, 1]			[18, 2, 2]	o	['K', 'H', 'F', 'K', 'K']
zero		品物を	[20, 1]	[20, 2, 2]	o	['A', 'A', 'A', 'A', 'A']
dep	[21, 2, 3]			[21, 4, 4]	o	['K', 'K', 'K', 'K', 'K']
zero		お客様が	[22, 1]	[22, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
zero		お客様に	[23, 2]	[23, 4, 4]	ni	['D', 'D', 'E', 'D', 'A']
zero		お客様に	[24, 5]	[24, 16, 16]	ni	['D', 'D', 'D', 'D', 'A']
dep	[27, 0, 3]			[27, 6, 6]	ni	['F', 'H', 'F', 'F', 'F']
dep	[29, 0, 4]			[29, 5, 6]	o	['K', 'K', 'K', 'K', 'K']
dep	[31, 0, 4]			[31, 9, 9]	o	['K', 'K', 'J', 'K', 'J']
dep	[32, 0, 3]			[32, 7, 7]	ni	['K', 'K', 'K', 'K', 'K']
dep	[33, 0, 3]			[33, 10, 10]	ga	['J', 'F', 'F', 'F', 'G']
dep	[34, 0, 2]			[34, 3, 3]	ga	['H', 'H', 'K', 'K', 'F']
zero		その時間を	[35, 5]	[35, 17, 17]	o	['A', 'A', 'D', 'F', 'A']
zero		担当の人に	[38, 2]	[38, 7, 7]	ga	['E', 'D', 'E', 'G', 'E']
dep	[40, 0, 1]			[40, 2, 2]	ga	['K', 'K', 'K', 'K', 'J']
zero		１つのものを	[41, 5]	[41, 12, 13]	o	['A', 'A', 'A', 'A', 'A']
dep	[43, 3, 6]			[43, 7, 7]	ga	['K', 'K', 'F', 'F', 'G']
dep	[44, 14, 16]			[44, 17, 17]	ga	['K', 'H', 'K', 'L', 'E']
