type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[0, 5, 7]			[0, 8, 8]	ga	['K', 'K', 'K', 'K', 'K']
dep	[1, 9, 10]			[1, 11, 11]	o	['K', 'H', 'K', 'K', 'H']
dep	[2, 3, 20]			[2, 25, 25]	ga	['K', 'K', 'K', 'K', 'K']
zero		関西人が	[5, 2]	[5, 5, 5]	ga	['A', 'F', 'A', 'D', 'D']
zero		関西人が	[8, 2]	[8, 3, 3]	ga	['A', 'A', 'A', 'D', 'A']
dep	[9, 3, 8]			[9, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		相乗りをする方もされる方が	[10, 7]	[10, 17, 17]	ga	['A', 'A', 'A', 'A', 'A']
dep	[13, 5, 6]			[13, 7, 7]	o	['K', 'K', 'K', 'K', 'J']
dep	[14, 3, 6]			[14, 8, 8]	o	['K', 'K', 'K', 'K', 'K']
dep	[15, 2, 3]			[15, 4, 4]	o	['K', 'K', 'K', 'K', 'K']
dep	[16, 5, 9]			[16, 10, 10]	o	['K', 'K', 'K', 'K', 'K']
dep	[17, 10, 11]			[17, 12, 12]	ga	['K', 'H', 'K', 'K', 'H']
dep	[18, 5, 8]			[18, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
dep	[19, 3, 4]			[19, 8, 8]	ga	['K', 'K', 'K', 'K', 'K']
zero		関西商人が	[22, 2]	[22, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		関西商人が	[23, 2]	[23, 8, 9]	ga	['A', 'A', 'A', 'D', 'A']
zero		関西商人が	[24, 1]	[24, 2, 2]	ga	['A', 'A', 'A', 'D', 'A']
dep	[26, 0, 3]			[26, 9, 9]	ga	['I', 'K', 'K', 'K', 'J']
zero		発行責任者の竹原信夫さんが	[28, 1]	[28, 4, 5]	ga	['E', 'B', 'B', 'K', 'K']
dep	[31, 0, 7]			[31, 21, 21]	ga	['K', 'K', 'K', 'K', 'K']
zero		発行責任者の竹原信夫さんが	[33, 4]	[33, 12, 13]	ga	['D', 'A', 'A', 'D', 'A']
zero		発行責任者の竹原信夫さんが	[34, 1]	[34, 6, 6]	ga	['D', 'A', 'A', 'D', 'A']
zero		発行責任者の竹原信夫さんが	[35, 0]	[35, 4, 4]	ga	['A', 'A', 'A', 'D', 'A']
dep	[40, 21, 23]			[40, 26, 26]	ga	['K', 'K', 'K', 'K', 'K']
zero		竹原さんが	[41, 4]	[41, 15, 15]	ga	['A', 'A', 'A', 'D', 'D']
zero		竹原さんが	[42, 1]	[42, 5, 5]	ga	['D', 'A', 'D', 'D', 'D']
zero		サラリーマンを辞めて独立するのは	[43, 4]	[43, 19, 19]	ga	['D', 'A', 'A', 'A', 'A']
zero		サラリーマンが	[44, 0]	[44, 2, 2]	ga	['D', 'F', 'D', 'D', 'A']
zero		サラリーマンが	[45, 1]	[45, 2, 3]	ga	['A', 'A', 'A', 'D', 'A']
zero		サラリーマンが	[46, 9]	[46, 30, 31]	ga	['A', 'A', 'A', 'D', 'D']
zero		竹原さんが	[47, 4]	[47, 14, 14]	ga	['A', 'A', 'A', 'A', 'A']
zero		竹原さんが	[48, 4]	[48, 18, 19]	ga	['A', 'D', 'A', 'D', 'D']
dep	[49, 2, 3]			[49, 4, 4]	o	['H', 'H', 'H', 'K', 'H']
dep	[50, 8, 9]			[50, 10, 10]	ga	['K', 'K', 'K', 'K', 'H']
dep	[51, 2, 3]			[51, 8, 8]	ga	['K', 'K', 'K', 'K', 'J']
dep	[52, 1, 5]			[52, 8, 8]	ga	['H', 'H', 'H', 'K', 'H']
zero		竹原さんが	[54, 0]	[54, 7, 7]	ga	['A', 'A', 'A', 'F', 'A']
dep	[56, 0, 6]			[56, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		竹原さんが	[60, 3]	[60, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		竹原さんが	[61, 2]	[61, 7, 7]	ga	['D', 'A', 'D', 'D', 'D']
dep	[62, 0, 10]			[62, 11, 11]	ga	['K', 'K', 'K', 'K', 'K']
zero		竹原さんが	[63, 4]	[63, 12, 13]	ga	['F', 'F', 'D', 'D', 'D']
zero		竹原さんが	[64, 1]	[64, 17, 17]	ga	['A', 'A', 'A', 'D', 'D']
zero		大手メディアが	[65, 3]	[65, 9, 9]	ga	['A', 'A', 'D', 'A', 'A']
dep	[66, 5, 12]			[66, 13, 14]	ga	['K', 'K', 'K', 'K', 'K']
dep	[67, 2, 4]			[67, 17, 18]	ga	['K', 'K', 'K', 'K', 'H']
zero		竹原さんが	[68, 1]	[68, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
dep	[70, 0, 7]			[70, 8, 8]	ga	['K', 'K', 'K', 'K', 'K']
dep	[72, 2, 4]			[72, 5, 5]	ga	['K', 'K', 'K', 'K', 'G']
dep	[73, 0, 2]			[73, 3, 3]	ni	['K', 'K', 'K', 'K', 'H']
dep	[74, 3, 4]			[74, 5, 5]	o	['J', 'G', 'J', 'G', 'G']
zero		一人が	[75, 1]	[75, 2, 2]	ga	['A', 'D', 'F', 'E', 'A']
dep	[76, 6, 12]			[76, 13, 13]	o	['K', 'K', 'K', 'K', 'K']
dep	[77, 2, 6]			[77, 8, 8]	o	['H', 'K', 'K', 'K', 'H']
