type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		日本人が	[2, 3]	[2, 12, 12]	ga	['A', 'G', 'D', 'E', 'A']
dep	[4, 0, 3]			[4, 11, 12]	ga	['H', 'F', 'H', 'K', 'F']
zero		それが	[5, 1]	[5, 5, 6]	ga	['A', 'F', 'D', 'F', 'D']
zero		それが	[6, 2]	[6, 8, 9]	ga	['A', 'F', 'A', 'F', 'D']
dep	[7, 16, 19]			[7, 20, 20]	ni	['H', 'J', 'K', 'H', 'H']
dep	[9, 3, 4]			[9, 5, 6]	o	['K', 'K', 'K', 'K', 'K']
dep	[13, 0, 2]			[13, 4, 4]	ga	['K', 'A', 'B', 'K', 'G']
zero		人間が	[15, 0]	[15, 0, 0]	ga	['A', 'K', 'F', 'F', 'D']
dep	[16, 9, 10]			[16, 11, 11]	ga	['K', 'F', 'K', 'K', 'K']
dep	[19, 0, 1]			[19, 2, 2]	o	['E', 'K', 'J', 'K', 'G']
dep	[20, 5, 8]			[20, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
zero		五官の働きの一つが	[21, 10]	[21, 22, 23]	ga	['A', 'A', 'A', 'A', 'A']
dep	[22, 0, 2]			[22, 5, 6]	ga	['H', 'K', 'K', 'K', 'K']
dep	[23, 0, 3]			[23, 6, 6]	ga	['K', 'H', 'A', 'K', 'K']
zero		五官の働きが	[24, 0]	[24, 2, 2]	ga	['A', 'H', 'D', 'D', 'A']
zero		皆様が	[26, 3]	[26, 9, 9]	ga	['A', 'A', 'A', 'A', 'A']
dep	[27, 19, 21]			[27, 22, 22]	ga	['D', 'A', 'D', 'F', 'F']
zero		これを	[28, 2]	[28, 4, 4]	o	['A', 'A', 'A', 'A', 'A']
dep	[30, 3, 4]			[30, 5, 5]	o	['K', 'K', 'G', 'K', 'J']
dep	[31, 0, 1]			[31, 2, 2]	o	['K', 'K', 'K', 'K', 'J']
dep	[32, 4, 7]			[32, 10, 10]	ni	['K', 'K', 'K', 'K', 'K']
dep	[34, 11, 12]			[34, 13, 13]	o	['K', 'K', 'K', 'K', 'H']
dep	[35, 4, 5]			[35, 6, 7]	o	['K', 'A', 'A', 'K', 'F']
dep	[36, 0, 10]			[36, 14, 14]	o	['K', 'K', 'K', 'K', 'K']
dep	[37, 0, 3]			[37, 4, 4]	o	['K', 'K', 'K', 'K', 'K']
dep	[39, 0, 2]			[39, 3, 3]	o	['H', 'J', 'K', 'K', 'H']
dep	[41, 9, 10]			[41, 11, 11]	ni	['H', 'K', 'K', 'K', 'H']
dep	[43, 5, 6]			[43, 7, 7]	o	['K', 'K', 'K', 'K', 'J']
dep	[44, 0, 7]			[44, 13, 13]	o	['K', 'K', 'K', 'K', 'K']
dep	[45, 0, 6]			[45, 12, 12]	o	['K', 'K', 'K', 'K', 'K']
zero		イエスが	[46, 4]	[46, 21, 21]	ga	['H', 'K', 'K', 'G', 'K']
dep	[47, 0, 6]			[47, 12, 13]	o	['K', 'K', 'K', 'K', 'K']
dep	[48, 0, 3]			[48, 21, 21]	ga	['K', 'J', 'K', 'K', 'J']
dep	[49, 0, 1]			[49, 7, 7]	ga	['K', 'F', 'K', 'F', 'F']
zero		聖書が	[50, 5]	[50, 11, 11]	ga	['H', 'G', 'D', 'D', 'D']
dep	[52, 0, 1]			[52, 4, 4]	ga	['K', 'H', 'K', 'K', 'H']
