type	dep_arg_span	filler	insert_position	pred	casemk	answers
dep	[3, 0, 8]			[3, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
dep	[4, 13, 17]			[4, 22, 22]	ga	['G', 'F', 'G', 'G', 'K']
dep	[6, 17, 20]			[6, 21, 21]	ga	['K', 'K', 'K', 'K', 'K']
zero		村の者が	[9, 0]	[9, 1, 1]	ga	['D', 'A', 'A', 'K', 'A']
dep	[11, 7, 8]			[11, 9, 9]	ga	['H', 'K', 'K', 'K', 'K']
dep	[12, 13, 13]			[12, 14, 14]	o	['K', 'K', 'K', 'K', 'K']
dep	[13, 10, 11]			[13, 12, 12]	ga	['F', 'H', 'F', 'K', 'F']
dep	[15, 9, 12]			[15, 13, 13]	ga	['F', 'F', 'H', 'G', 'F']
zero		お宮さんへおまいりに行った村の者が	[16, 7]	[16, 17, 17]	ga	['A', 'A', 'A', 'A', 'A']
dep	[17, 0, 3]			[17, 4, 4]	ga	['F', 'F', 'K', 'G', 'G']
zero		みんなが	[18, 1]	[18, 4, 4]	ga	['A', 'A', 'A', 'A', 'A']
zero		村の者が	[20, 0]	[20, 1, 1]	ga	['D', 'A', 'A', 'A', 'A']
zero		その水が	[21, 1]	[21, 1, 1]	ga	['A', 'A', 'A', 'D', 'A']
dep	[22, 12, 15]			[22, 16, 16]	ga	['H', 'K', 'K', 'K', 'K']
dep	[23, 0, 3]			[23, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
dep	[25, 0, 2]			[25, 3, 3]	ga	['F', 'H', 'H', 'K', 'H']
dep	[26, 7, 19]			[26, 20, 20]	ga	['I', 'K', 'K', 'K', 'K']
dep	[27, 0, 4]			[27, 15, 15]	ga	['F', 'K', 'F', 'K', 'F']
dep	[28, 19, 21]			[28, 26, 26]	o	['F', 'G', 'G', 'K', 'G']
dep	[32, 12, 13]			[32, 14, 14]	ga	['K', 'K', 'K', 'K', 'K']
dep	[33, 22, 23]			[33, 24, 24]	ga	['K', 'E', 'K', 'K', 'K']
dep	[34, 2, 4]			[34, 5, 5]	ga	['F', 'F', 'F', 'F', 'F']
zero		このお方が	[35, 10]	[35, 28, 28]	ga	['A', 'A', 'A', 'A', 'A']
dep	[36, 5, 17]			[36, 18, 18]	o	['K', 'K', 'K', 'K', 'K']
zero		おまえたちが	[37, 1]	[37, 10, 10]	ga	['A', 'A', 'D', 'D', 'B']
dep	[38, 34, 35]			[38, 36, 36]	ga	['I', 'J', 'K', 'K', 'K']
dep	[39, 20, 23]			[39, 24, 24]	ga	['K', 'K', 'K', 'K', 'K']
dep	[40, 4, 6]			[40, 7, 7]	ga	['F', 'F', 'G', 'J', 'K']
zero		私どもが	[41, 2]	[41, 9, 9]	ga	['A', 'A', 'D', 'A', 'D']
zero		家来が	[43, 0]	[43, 2, 2]	ga	['F', 'A', 'D', 'D', 'D']
zero		あなたたちは	[44, 2]	[44, 4, 4]	ga	['F', 'A', 'E', 'D', 'D']
zero		わたしが	[45, 3]	[45, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
