type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		お前が	[1, 1]	[1, 4, 4]	ga	['A', 'C', 'C', 'B', 'E']
zero		私が	[2, 0]	[2, 2, 2]	ga	['D', 'A', 'D', 'D', 'D']
zero		牧師が	[6, 4]	[6, 10, 10]	ga	['A', 'A', 'D', 'D', 'A']
dep	[7, 9, 10]			[7, 11, 11]	o	['K', 'F', 'F', 'F', 'F']
dep	[9, 0, 1]			[9, 3, 3]	ga	['H', 'A', 'D', 'F', 'D']
zero		私は	[10, 3]	[10, 5, 5]	ga	['D', 'A', 'A', 'D', 'D']
zero		お前は	[11, 1]	[11, 4, 4]	ga	['D', 'A', 'D', 'D', 'D']
dep	[12, 0, 2]			[12, 3, 3]	ni	['F', 'H', 'F', 'F', 'F']
zero		私が	[13, 4]	[13, 11, 11]	ga	['A', 'A', 'A', 'A', 'A']
zero		私が	[15, 1]	[15, 3, 3]	ga	['A', 'A', 'D', 'D', 'D']
zero		私は	[18, 4]	[18, 11, 11]	ga	['F', 'D', 'F', 'D', 'D']
zero		お前は	[19, 1]	[19, 7, 7]	ga	['F', 'F', 'F', 'F', 'F']
zero		お前が	[20, 3]	[20, 5, 5]	ga	['D', 'A', 'D', 'D', 'D']
zero		お前が	[21, 3]	[21, 7, 7]	ga	['A', 'A', 'A', 'A', 'D']
zero		子どもが	[25, 0]	[25, 2, 2]	ga	['D', 'F', 'D', 'D', 'D']
zero		私が	[27, 5]	[27, 13, 14]	ga	['A', 'A', 'A', 'A', 'A']
dep	[28, 0, 5]			[28, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[29, 0, 1]			[29, 4, 4]	ga	['K', 'E', 'D', 'F', 'J']
zero		幼い子が	[30, 1]	[30, 1, 1]	ga	['A', 'A', 'A', 'A', 'A']
zero		○○ちゃんが	[32, 3]	[32, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		カードを	[33, 5]	[33, 18, 18]	o	['A', 'D', 'D', 'A', 'D']
zero		途中で帰っていった○○ちゃんが	[34, 2]	[34, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
dep	[35, 0, 3]			[35, 16, 16]	ga	['D', 'K', 'H', 'K', 'G']
zero		私が	[37, 0]	[37, 3, 3]	ga	['A', 'A', 'D', 'D', 'D']
zero		私が	[39, 3]	[39, 23, 23]	ga	['A', 'A', 'A', 'A', 'A']
dep	[40, 15, 17]			[40, 18, 18]	o	['F', 'J', 'F', 'K', 'J']
dep	[41, 0, 2]			[41, 6, 6]	ga	['K', 'G', 'F', 'K', 'F']
zero		私が	[42, 7]	[42, 19, 19]	ga	['A', 'A', 'E', 'A', 'D']
zero		私が	[43, 4]	[43, 13, 13]	ga	['A', 'A', 'D', 'A', 'D']
dep	[44, 14, 19]			[44, 20, 20]	o	['K', 'K', 'K', 'K', 'K']
dep	[45, 0, 2]			[45, 13, 13]	ga	['K', 'I', 'K', 'K', 'K']
zero		私は	[46, 8]	[46, 17, 17]	ga	['F', 'F', 'D', 'F', 'D']
dep	[47, 4, 13]			[47, 19, 19]	ni	['K', 'K', 'K', 'K', 'K']
zero		イエス様が	[50, 0]	[50, 0, 1]	ga	['A', 'A', 'K', 'E', 'K']
zero		人に	[51, 1]	[51, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
dep	[52, 0, 1]			[52, 2, 2]	ga	['H', 'H', 'F', 'K', 'J']
dep	[53, 11, 13]			[53, 14, 14]	ga	['H', 'F', 'F', 'K', 'H']
dep	[54, 0, 5]			[54, 11, 11]	ga	['K', 'K', 'K', 'K', 'K']
zero		○○ちゃんが	[55, 1]	[55, 4, 4]	ga	['A', 'D', 'D', 'D', 'A']
zero		牧師さんは	[56, 3]	[56, 6, 6]	ga	['A', 'D', 'D', 'D', 'D']
zero		○○ちゃんは	[57, 3]	[57, 7, 7]	ga	['F', 'F', 'F', 'E', 'D']
zero		あるキリスト者が	[61, 0]	[61, 5, 5]	ga	['A', 'A', 'D', 'A', 'A']
zero		あるキリスト者が	[63, 0]	[63, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		あるキリスト者が	[64, 0]	[64, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		そのキリスト者が	[65, 4]	[65, 8, 9]	ga	['A', 'A', 'A', 'A', 'A']
dep	[67, 0, 1]			[67, 5, 5]	ga	['F', 'D', 'D', 'E', 'F']
zero		自分の調教が	[68, 3]	[68, 6, 6]	ga	['A', 'A', 'A', 'A', 'A']
zero		彼が	[69, 0]	[69, 2, 2]	ga	['A', 'A', 'A', 'A', 'A']
zero		彼が	[71, 0]	[71, 1, 1]	ga	['F', 'F', 'D', 'F', 'D']
