type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		客先の安全基準が	[0, 1]	[0, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		客先に	[1, 7]	[1, 20, 20]	ga	['D', 'D', 'D', 'A', 'B']
dep	[2, 0, 2]			[2, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[3, 6, 19]			[3, 20, 20]	ga	['K', 'K', 'K', 'K', 'G']
zero		どのような物があり、いくらぐらいする物なのかを	[4, 0]	[4, 2, 2]	o	['A', 'A', 'A', 'A', 'A']
zero		どのような物があり、いくらぐらいする物なのかを	[5, 0]	[5, 2, 2]	o	['A', 'A', 'A', 'A', 'A']
zero		ウチが	[6, 11]	[6, 31, 31]	ga	['D', 'D', 'D', 'A', 'A']
zero		我々が	[7, 0]	[7, 7, 8]	ga	['A', 'D', 'D', 'D', 'D']
dep	[8, 0, 2]			[8, 3, 3]	ni	['K', 'K', 'K', 'K', 'K']
dep	[10, 1, 4]			[10, 5, 5]	ni	['K', 'K', 'K', 'K', 'K']
dep	[11, 7, 8]			[11, 9, 9]	ni	['F', 'F', 'D', 'F', 'D']
dep	[12, 0, 1]			[12, 2, 3]	o	['K', 'K', 'K', 'K', 'K']
dep	[13, 1, 5]			[13, 6, 6]	o	['K', 'K', 'K', 'K', 'K']
zero		セミナーや講習会を	[14, 0]	[14, 0, 0]	o	['D', 'A', 'F', 'A', 'A']
dep	[15, 2, 6]			[15, 7, 8]	ni	['D', 'A', 'D', 'A', 'A']
dep	[16, 1, 3]			[16, 4, 4]	o	['K', 'H', 'K', 'K', 'K']
dep	[17, 0, 1]			[17, 2, 2]	ni	['K', 'K', 'K', 'K', 'K']
dep	[18, 2, 4]			[18, 9, 9]	ga	['F', 'K', 'K', 'K', 'G']
dep	[19, 5, 6]			[19, 7, 7]	o	['K', 'K', 'K', 'K', 'K']
dep	[21, 1, 3]			[21, 4, 5]	o	['K', 'H', 'K', 'K', 'K']
zero		本などに	[22, 5]	[22, 13, 14]	ga	['A', 'A', 'D', 'D', 'A']
dep	[24, 0, 3]			[24, 4, 4]	ni	['K', 'K', 'K', 'K', 'K']
zero		様々な分野が	[26, 2]	[26, 14, 14]	ga	['A', 'A', 'A', 'A', 'A']
dep	[27, 8, 17]			[27, 18, 18]	o	['K', 'K', 'K', 'K', 'K']
dep	[28, 3, 7]			[28, 8, 9]	ni	['K', 'G', 'K', 'K', 'G']
zero		現場の業者に	[29, 0]	[29, 0, 0]	ni	['D', 'D', 'D', 'D', 'A']
dep	[30, 0, 1]			[30, 2, 2]	o	['K', 'K', 'K', 'K', 'K']
dep	[31, 0, 2]			[31, 8, 9]	o	['K', 'K', 'K', 'K', 'K']
dep	[34, 10, 11]			[34, 12, 13]	o	['K', 'K', 'G', 'K', 'G']
zero		　“安全増し防爆”を	[35, 4]	[35, 11, 11]	o	['F', 'A', 'F', 'D', 'A']
dep	[36, 0, 3]			[36, 6, 6]	ni	['K', 'K', 'K', 'K', 'K']
zero		客先に	[37, 5]	[37, 14, 15]	ni	['F', 'F', 'D', 'A', 'A']
dep	[38, 24, 25]			[38, 28, 28]	o	['I', 'L', 'I', 'I', 'I']
dep	[41, 2, 6]			[41, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[43, 3, 15]			[43, 16, 16]	ga	['K', 'K', 'K', 'K', 'K']
dep	[44, 9, 10]			[44, 11, 11]	o	['K', 'K', 'K', 'K', 'K']
dep	[45, 0, 3]			[45, 4, 4]	ni	['K', 'H', 'K', 'K', 'H']
dep	[46, 0, 4]			[46, 5, 5]	o	['K', 'H', 'K', 'K', 'H']
dep	[47, 0, 2]			[47, 3, 3]	o	['K', 'H', 'K', 'K', 'H']
dep	[48, 2, 14]			[48, 15, 15]	o	['K', 'K', 'K', 'K', 'K']
dep	[49, 0, 2]			[49, 3, 4]	o	['K', 'H', 'K', 'K', 'H']
dep	[50, 0, 3]			[50, 4, 4]	ni	['K', 'H', 'K', 'K', 'H']
