type	dep_arg_span	filler	insert_position	pred	casemk	answers
zero		コウモリが	[2, 5]	[2, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		コウモリが	[4, 6]	[4, 17, 18]	ga	['A', 'A', 'A', 'A', 'A']
dep	[5, 10, 16]			[5, 17, 17]	o	['K', 'K', 'K', 'K', 'K']
zero		コウモリが	[6, 7]	[6, 16, 16]	ga	['A', 'A', 'A', 'D', 'D']
dep	[7, 0, 1]			[7, 32, 33]	ga	['F', 'H', 'F', 'F', 'F']
dep	[8, 22, 42]			[8, 43, 43]	ga	['I', 'K', 'K', 'K', 'K']
zero		コウモリが	[9, 4]	[9, 12, 12]	ga	['A', 'A', 'A', 'A', 'A']
dep	[11, 13, 17]			[11, 18, 19]	ga	['K', 'K', 'K', 'K', 'K']
dep	[12, 5, 8]			[12, 10, 10]	ga	['H', 'H', 'F', 'J', 'F']
zero		南洋群島と呼ばれるパラオ諸島に	[14, 5]	[14, 14, 14]	ni	['A', 'A', 'A', 'A', 'A']
dep	[16, 0, 4]			[16, 7, 7]	ga	['K', 'K', 'K', 'K', 'K']
zero		このコウモリを	[17, 4]	[17, 11, 11]	o	['A', 'A', 'A', 'A', 'A']
zero		人間の目が	[19, 4]	[19, 13, 13]	ga	['A', 'A', 'A', 'A', 'A']
zero		こちらが	[20, 5]	[20, 19, 19]	ga	['A', 'A', 'A', 'A', 'A']
zero		足を回転させるのが	[24, 1]	[24, 5, 5]	ga	['F', 'K', 'K', 'D', 'D']
zero		目が	[26, 3]	[26, 6, 6]	ga	['A', 'D', 'D', 'A', 'A']
zero		ミズスマシが	[27, 6]	[27, 22, 22]	o	['D', 'A', 'A', 'A', 'D']
zero		カブトガニに	[29, 13]	[29, 42, 42]	ni	['A', 'A', 'A', 'A', 'A']
zero		カブトガニが	[30, 4]	[30, 14, 15]	ga	['A', 'F', 'A', 'A', 'D']
zero		カブトガニは	[31, 0]	[31, 14, 14]	ga	['F', 'F', 'F', 'D', 'D']
dep	[32, 3, 4]			[32, 5, 5]	ga	['G', 'K', 'J', 'G', 'G']
zero		甲羅が	[35, 1]	[35, 3, 3]	ga	['A', 'A', 'A', 'A', 'A']
zero		カブトガニが	[36, 3]	[36, 8, 8]	ga	['D', 'A', 'D', 'A', 'D']
zero		カブトガニが	[37, 2]	[37, 6, 6]	ga	['A', 'D', 'D', 'A', 'D']
dep	[40, 0, 3]			[40, 14, 14]	ga	['L', 'K', 'K', 'K', 'K']
zero		生き物が	[41, 2]	[41, 9, 10]	ga	['D', 'A', 'E', 'A', 'D']
dep	[42, 3, 4]			[42, 5, 6]	ga	['F', 'K', 'F', 'F', 'K']
dep	[43, 9, 12]			[43, 13, 13]	ni	['K', 'K', 'K', 'K', 'K']
dep	[48, 27, 28]			[48, 29, 29]	ni	['F', 'H', 'F', 'K', 'K']
zero		このアホウドリが	[49, 7]	[49, 18, 18]	ga	['A', 'A', 'A', 'A', 'A']
dep	[50, 21, 22]			[50, 23, 23]	o	['K', 'K', 'K', 'K', 'H']
zero		さまざまな知恵や工夫が	[51, 2]	[51, 5, 5]	ga	['A', 'A', 'A', 'A', 'A']
zero		アホウドリが	[52, 8]	[52, 19, 19]	ga	['A', 'A', 'A', 'A', 'D']
dep	[53, 15, 16]			[53, 17, 17]	o	['K', 'K', 'K', 'K', 'H']
zero		アホウドリが	[54, 0]	[54, 6, 6]	ga	['A', 'D', 'A', 'A', 'A']
zero		業者が	[55, 10]	[55, 27, 27]	ga	['A', 'A', 'A', 'A', 'A']
zero		アホウドリに	[56, 9]	[56, 28, 28]	ni	['A', 'A', 'A', 'A', 'A']
zero		鳥泥棒たちが	[57, 12]	[57, 30, 30]	ga	['A', 'A', 'A', 'A', 'A']
dep	[58, 26, 28]			[58, 29, 29]	o	['F', 'H', 'H', 'H', 'H']
zero		島に	[60, 23]	[60, 68, 69]	ni	['F', 'A', 'F', 'F', 'F']
dep	[61, 18, 23]			[61, 27, 27]	ga	['K', 'K', 'K', 'K', 'K']
zero		気象庁の観測所員が	[62, 6]	[62, 13, 14]	ga	['A', 'A', 'D', 'D', 'A']
dep	[64, 7, 8]			[64, 9, 10]	o	['K', 'K', 'K', 'K', 'K']
dep	[65, 5, 7]			[65, 8, 9]	o	['D', 'H', 'F', 'D', 'F']
dep	[67, 4, 8]			[67, 9, 9]	ga	['K', 'K', 'K', 'K', 'K']
dep	[69, 12, 13]			[69, 14, 14]	ga	['K', 'K', 'K', 'K', 'J']
dep	[71, 6, 9]			[71, 10, 10]	ga	['K', 'K', 'K', 'K', 'K']
dep	[72, 9, 11]			[72, 12, 12]	ga	['H', 'H', 'K', 'K', 'H']
dep	[74, 7, 8]			[74, 9, 10]	o	['D', 'A', 'F', 'F', 'F']
dep	[75, 0, 3]			[75, 4, 4]	ga	['H', 'H', 'F', 'K', 'H']
zero		中国大陸から飛んでくる黄砂が	[76, 2]	[76, 8, 8]	ga	['A', 'A', 'A', 'A', 'A']
zero		二酸化炭素（ＣＯ２）など排ガスの規制が	[78, 5]	[78, 16, 16]	ga	['A', 'A', 'A', 'A', 'A']
zero		そうした排ガスが	[79, 3]	[79, 10, 10]	ga	['A', 'A', 'A', 'A', 'A']
dep	[80, 4, 5]			[80, 6, 6]	ga	['K', 'K', 'K', 'K', 'K']
zero		黄砂の影響が	[81, 6]	[81, 16, 16]	ga	['A', 'D', 'D', 'A', 'A']
zero		日本が	[82, 9]	[82, 30, 30]	ga	['D', 'A', 'F', 'A', 'A']
zero		私たちが	[83, 8]	[83, 22, 22]	ga	['A', 'A', 'A', 'A', 'A']
dep	[84, 19, 20]			[84, 21, 21]	ga	['K', 'K', 'K', 'K', 'K']
dep	[85, 6, 7]			[85, 10, 10]	ga	['H', 'H', 'K', 'K', 'K']
dep	[87, 3, 4]			[87, 5, 5]	ga	['K', 'K', 'K', 'K', 'H']
dep	[88, 0, 4]			[88, 17, 17]	ga	['K', 'K', 'K', 'K', 'K']
dep	[90, 3, 14]			[90, 15, 15]	ga	['K', 'K', 'k', 'K', 'K']
zero		サウジアラビア政府に	[91, 16]	[91, 44, 45]	ga	['A', 'D', 'D', 'A', 'A']
zero		パンツが	[92, 5]	[92, 16, 16]	ga	['A', 'A', 'D', 'A', 'A']
dep	[93, 24, 25]			[93, 26, 26]	o	['K', 'K', 'K', 'K', 'H']
dep	[94, 11, 12]			[94, 13, 13]	ga	['F', 'K', 'K', 'K', 'K']
zero		数が	[95, 4]	[95, 6, 6]	ga	['D', 'F', 'D', 'D', 'D']
zero		ラクダを	[96, 11]	[96, 28, 29]	o	['A', 'A', 'A', 'A', 'A']
zero		オーストラリアが	[97, 2]	[97, 11, 12]	ga	['A', 'A', 'A', 'A', 'A']
